sentence_text,word_original_value,word_root,word_original_value_translation,word_syntactic_category,word_aspect,word_conjugation,word_object,word_declension_case,word_verb_causing_declension,sentence_remarks
"id,sentence",id,id,it,Pronoun,,,,,,"The sentence contains a comma, which is not standard in Polish syntax. It seems to be a fragment rather than a complete sentence."
"id,sentence",sentence,sentence,sentence,Noun,,,,nominative,,"The sentence contains a comma, which is not standard in Polish syntax. It seems to be a fragment rather than a complete sentence."
Nie ma kota.,Nie,nie,No,Particle,,,,,,The sentence is grammatically correct.
Nie ma kota.,ma,mieć,has,Verb,imperfective,3rd person singular,kota,,,The sentence is grammatically correct.
Nie ma kota.,kota,kot,cat,Noun,,,,Genitive,ma,The sentence is grammatically correct.
Lubię zapach kwiatów na wiosnę.,Lubię,lubić,I like,Verb,imperfective,1st person singular,,,,The sentence is grammatically correct.
Lubię zapach kwiatów na wiosnę.,zapach,zapach,smell,Noun,,,,accusative,lubić,The sentence is grammatically correct.
Lubię zapach kwiatów na wiosnę.,kwiatów,kwiat,flowers,Noun,,,,genitive,none,The sentence is grammatically correct.
Lubię zapach kwiatów na wiosnę.,na,na,in/on,Preposition,,,,,,The sentence is grammatically correct.
Lubię zapach kwiatów na wiosnę.,wiosnę,wiosna,spring,Noun,,,,accusative,none,The sentence is grammatically correct.
"5,Daję kotu mleko.",5,5,5,Noun,,,,nominative,,
"5,Daję kotu mleko.",Daję,dać,I give,Verb,imperfective,1st person singular,mleko,,,
"5,Daję kotu mleko.",kotu,kot,to the cat,Noun,,,,dative,Daję,
"5,Daję kotu mleko.",mleko,mleko,milk,Noun,,,,nominative,,
Widzę chłopca.,Widzę,widzieć,I see,Verb,imperfective,1st person singular,chłopca,,,
Widzę chłopca.,chłopca,chłopiec,boy,Noun,,,,accusative,Widzę,
"8,Mam komputer.",8,8,8,Noun,,,,nominative,,"The sentence is informal and uses a numeral at the beginning, which is not typical in standard Polish sentences."
"8,Mam komputer.",Mam,mieć,I have,Verb,imperfective,1st person singular,komputer,,,"The sentence is informal and uses a numeral at the beginning, which is not typical in standard Polish sentences."
"8,Mam komputer.",komputer,komputer,computer,Noun,,,,nominative,,"The sentence is informal and uses a numeral at the beginning, which is not typical in standard Polish sentences."
Idę na spacer z Moniką.,Idę,iść,I go,Verb,imperfective,1st person singular,,,,
Idę na spacer z Moniką.,na,na,for,Preposition,,,,,,
Idę na spacer z Moniką.,spacer,spacer,walk,Noun,,,,accusative,na,
Idę na spacer z Moniką.,z,z,with,Preposition,,,,,,
Idę na spacer z Moniką.,Moniką,Monika,Monika,Noun,,,,instrumental,z,
Mówię o kocie.,Mówię,mówić,I am talking,Verb,imperfective,1st person singular,,,,
Mówię o kocie.,o,o,about,Preposition,,,,,,
Mówię o kocie.,kocie,kot,cat,Noun,,,,locative,mówić,
Dzieci bawiły się na podwórku.,Dzieci,dzieci,children,Noun,,,,Nominative,,The sentence is grammatically correct.
Dzieci bawiły się na podwórku.,bawiły,bawić,were playing,Verb,imperfective,3rd person plural,,,,The sentence is grammatically correct.
Dzieci bawiły się na podwórku.,się,się,(reflexive pronoun),Pronoun,,,,,,The sentence is grammatically correct.
Dzieci bawiły się na podwórku.,na,na,in/on,Preposition,,,,,,The sentence is grammatically correct.
Dzieci bawiły się na podwórku.,podwórku,podwórko,yard,Noun,,,,Locative,bawić,The sentence is grammatically correct.
"14,Marku!",14,14,14,Noun,,,,nominative,,"The sentence is a direct address to someone named Mark, using the vocative case."
"14,Marku!",Marku,Mark,Mark,Noun,,,,vocative,,"The sentence is a direct address to someone named Mark, using the vocative case."
Nie mogę znaleźć mojego telefonu.,Nie,nie,Not,Adverb,,,,,,The sentence is grammatically correct.
Nie mogę znaleźć mojego telefonu.,mogę,móc,can,Verb,imperfective,1st person singular,,,,The sentence is grammatically correct.
Nie mogę znaleźć mojego telefonu.,znaleźć,znaleźć,find,Verb,,,,,,The sentence is grammatically correct.
Nie mogę znaleźć mojego telefonu.,mojego,mój,my,Pronoun,,,,,,The sentence is grammatically correct.
Nie mogę znaleźć mojego telefonu.,telefonu,telefon,phone,Noun,,,,Genitive,znaleźć,The sentence is grammatically correct.
Lubię kawę z cukrem.,Lubię,lubić,I like,Verb,imperfective,1st person singular,,,,
Lubię kawę z cukrem.,kawę,kawa,coffee,Noun,,,,accusative,lubić,
Lubię kawę z cukrem.,z,z,with,Preposition,,,,,,
Lubię kawę z cukrem.,cukrem,cukier,sugar,Noun,,,,instrumental,z,
"17,Rozmawiamy o książce.",17,17,17,Noun,,,,nominative,,The sentence is grammatically correct.
"17,Rozmawiamy o książce.",Rozmawiamy,rozmawiać,We are talking,Verb,imperfective,1st person plural,o książce,,,The sentence is grammatically correct.
"17,Rozmawiamy o książce.",o,o,about,Preposition,,,,,,The sentence is grammatically correct.
"17,Rozmawiamy o książce.",książce,książka,book,Noun,,,,locative,o,The sentence is grammatically correct.
"18,Oddałam książkę Piotrkowi.",18,18,18,Noun,,,,nominative,,The sentence is grammatically correct.
"18,Oddałam książkę Piotrkowi.",Oddałam,oddać,I gave,Verb,perfective,1st person singular,,,,The sentence is grammatically correct.
"18,Oddałam książkę Piotrkowi.",książkę,książka,book,Noun,,,,accusative,Oddałam,The sentence is grammatically correct.
"18,Oddałam książkę Piotrkowi.",Piotrkowi,Piotr,to Piotr,Noun,,,,dative,Oddałam,The sentence is grammatically correct.
"19,Ona bierze kota na ręce.",19,19,19,Noun,,,,nominative,,
"19,Ona bierze kota na ręce.",Ona,ona,She,Pronoun,,,,,,
"19,Ona bierze kota na ręce.",bierze,brać,takes,Verb,imperfective,3rd person singular,kota,,,
"19,Ona bierze kota na ręce.",kota,kot,cat,Noun,,,,accusative,bierze,
"19,Ona bierze kota na ręce.",na,na,in,Preposition,,,,,,
"19,Ona bierze kota na ręce.",ręce,ręka,arms,Noun,,,,accusative,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",W,w,In,Preposition,,,,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",terenie,teren,terrain,Noun,,,,locative,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",górzystym,górzysty,hilly,Adjective,,,,locative,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",dla,dla,for,Preposition,,,,,,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",zmniejszenia,zmniejszenie,reduction,Noun,,,,genitive,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",erozji,erozja,erosion,Noun,,,,genitive,none,
"W terenie górzystym dla zmniejszenia erozji długie boki pola powinny być wyznaczane wzdłuż warstwic, prostopadle do spadku terenu.",długie,długi,long,Adjective,,,,nominative,none,
