sentence_text,word_original_value,word_root,word_original_value_translation,word_syntactic_category,word_aspect,word_conjugation,word_object,word_declension_case,word_verb_causing_declension,sentence_remarks
Kot pije wodę.,Kot,kot,cat,Noun,,,,nominative,,
Kot pije wodę.,pije,pić,drinks,Verb,imperfective,3rd person singular,wodę,,,
Kot pije wodę.,wodę,woda,water,Noun,,,,accusative,pije,
Maria zjadła zupę.,Maria,Maria,Maria,Noun,,,,nominative,,
Maria zjadła zupę.,zjadła,zjeść,ate,Verb,perfective,3rd person singular feminine,zupę,,,
Maria zjadła zupę.,zupę,zupa,soup,Noun,,,,accusative,zjadła,
Nie ma kota.,Nie,nie,No,Particle,,,,,,The sentence is correct and commonly used in Polish.
Nie ma kota.,ma,mieć,has,Verb,imperfective,3rd person singular,kota,,,The sentence is correct and commonly used in Polish.
Nie ma kota.,kota,kot,cat,Noun,,,,genitive,ma,The sentence is correct and commonly used in Polish.
Lubię zapach kwiatów na wiosnę.,Lubię,lubić,I like,Verb,imperfective,1st person singular,,,,
Lubię zapach kwiatów na wiosnę.,zapach,zapach,smell,Noun,,,,accusative,lubić,
Lubię zapach kwiatów na wiosnę.,kwiatów,kwiat,flowers,Noun,,,,genitive,zapach,
Lubię zapach kwiatów na wiosnę.,na,na,in/on,Preposition,,,,,,
Lubię zapach kwiatów na wiosnę.,wiosnę,wiosna,spring,Noun,,,,accusative,na,
Daję kotu mleko.,Daję,dać,I give,Verb,imperfective,1st person singular,,,,
Daję kotu mleko.,kotu,kot,to the cat,Noun,,,,dative,dać,
Daję kotu mleko.,mleko,mleko,milk,Noun,,,,nominative,dać,
Pomagam dziewczynie.,Pomagam,pomagać,I help,Verb,imperfective,1st person singular,dziewczynie,,,
Pomagam dziewczynie.,dziewczynie,dziewczyna,the girl,Noun,,,,dative,pomagam,
Widzę chłopca.,Widzę,widzieć,I see,Verb,imperfective,1st person singular,chłopca,,,
Widzę chłopca.,chłopca,chłopiec,boy,Noun,,,,accusative,Widzę,
Mam komputer.,Mam,mać,I have,Verb,imperfective,1st person singular,,,,
Mam komputer.,komputer,komputer,computer,Noun,,,,accusative,Mam,
Jestem z kotem.,Jestem,być,I am,Verb,imperfective,1st person singular,,,,
Jestem z kotem.,z,z,with,Preposition,,,,,,
Jestem z kotem.,kotem,kot,cat,Noun,,,,instrumental,być,
Idę na spacer z Moniką.,Idę,iść,I am going,Verb,imperfective,1st person singular,,,,
Idę na spacer z Moniką.,na,na,for,Preposition,,,,,,
Idę na spacer z Moniką.,spacer,spacer,walk,Noun,,,,accusative,iść,
Idę na spacer z Moniką.,z,z,with,Preposition,,,,,,
Idę na spacer z Moniką.,Moniką,Monika,Monika,Noun,,,,instrumental,być,
Mówię o kocie.,Mówię,mówić,I am talking,Verb,imperfective,1st person singular,,,,
Mówię o kocie.,o,o,about,Preposition,,,,,,
Mówię o kocie.,kocie,kot,cat,Noun,,,,locative,mówić,
Dzieci bawiły się na podwórku.,Dzieci,dzieci,children,Noun,,,,Nominative,,
Dzieci bawiły się na podwórku.,bawiły,bawić,played,Verb,imperfective,3rd person plural,,,,
Dzieci bawiły się na podwórku.,się,się,(reflexive pronoun),Pronoun,,,,,,
Dzieci bawiły się na podwórku.,na,na,in/on,Preposition,,,,,,
