sentence_id,word_original_value,word_root,word_original_value_translation,word_syntactic_category,word_aspect,word_conjugation,word_object,word_declension_case,word_verb_causing_declension
1,Kot,kot,cat,noun,,,,nominative,
1,pije,pić,drinks,verb,imperfective,3rd person singular,wodę,,
1,wodę,woda,water,noun,,,,accusative,pije
2,Maria,Maria,Maria,noun,,,,,
2,zjadła,zjeść,ate,verb,perfective,3rd person singular feminine,,,
2,zupę,zupa,soup,noun,,,,accusative,zjadła
3,Nie,nie,No,adverb,,,,,
3,ma,mieć,has,verb,imperfective,3rd person singular,,,
3,kota,kot,cat,noun,,,,genitive,ma
4,Lubię,lubić,I like,verb,imperfective,1st person singular,,,
4,zapach,zapach,the smell,noun,,,,accusative,lubić
4,kwiatów,kwiat,of flowers,noun,,,,genitive,zapach
4,na,na,in,preposition,,,,,
4,wiosnę,wiosna,spring,noun,,,,accusative,na
5,Daję,dać,I give,verb,imperfective,1st person singular,,,
5,kotu,kot,to the cat,noun,,,,dative,dać
5,mleko,mleko,milk,noun,,,,nominative,dać
6,Pomagam,pomagać,I help,verb,imperfective,1st person singular,,,
6,dziewczynie,dziewczyna,the girl,noun,,,,dative,pomagam
7,Widzę,widzieć,I see,verb,perfective,1st person singular,,,
7,chłopca,chłopiec,a boy,noun,,,,accusative,widzieć
8,Mam,mać,I have,verb,imperfective,1st person singular,,,
8,komputer,komputer,computer,noun,,,,accusative,mam
9,Jestem,być,I am,verb,imperfective,1st person singular,,,
9,z,z,with,preposition,,,,,
9,kotem,kot,cat,noun,,,,instrumental,być
10,Idę,iść,I am going,verb,imperfective,1st person singular,,,
10,na,na,for,preposition,,,,,
10,spacer,spacer,walk,noun,,,,accusative,na
10,z,z,with,preposition,,,,,
10,Moniką,Monika,Monika,noun,,,,instrumental,z
11,Mówię,mówić,I am talking,verb,imperfective,1st person singular,,,
11,o,o,about,preposition,,,,,
11,kocie,kot,the cat,noun,,,,locative,mówić
12,Dzieci,dzieci,children,noun,,,,nominative,
12,bawiły,bawić,played,verb,imperfective,3rd person plural,,,
12,się,się,(reflexive pronoun),pronoun,,,,,
12,na,na,in/on,preposition,,,,,
12,podwórku,podwórko,yard,noun,,,,locative,na
13,Kocie,kot,Cat (in the vocative case),noun,,,,vocative,
14,Marku,Mark,Mark,noun,,,,vocative,
15,Nie,nie,No,particle,,,,,
15,mogę,móc,can,verb,imperfective,1st person singular,,,
15,znaleźć,znaleźć,find,verb,perfective,infinitive,,,
15,mojego,mój,my,adjective,,,,genitive,znaleźć
15,telefonu,telefon,phone,noun,,,,genitive,znaleźć
16,Lubię,lubić,I like,verb,imperfective,1st person singular,,,
16,kawę,kawa,coffee,noun,,,,accusative,lubić
16,z,z,with,preposition,,,,,
16,cukrem,cukier,sugar,noun,,,,instrumental,z
17,Rozmawiamy,rozmawiać,We are talking,verb,imperfective,1st person plural,,,
17,o,o,about,preposition,,,,,
17,książce,książka,book,noun,,,,locative,rozmawiać
18,Oddałam,oddać,I returned,verb,perfective,1st person singular,,,
18,książkę,książka,the book,noun,,,,accusative,oddać
18,Piotrkowi,Piotrek,to Piotr,noun,,,,dative,oddać
19,Ona,on,She,pronoun,,,,,
19,bierze,brać,is taking,verb,imperfective,3rd person singular,,,
19,kota,kot,the cat,noun,,,,accusative,bierze
19,na,na,in,preposition,,,,,
19,ręce,ręka,arms,noun,,,,locative,na
