sentence_id,word_pos,original_value,root,original_value_translation,syntactic_category,other_syntactic_category,aspect,conjugation,object,declension_case,verb_causing_declension
1,0,Kot,,,,,,,,,none
1,1,pije,,,,,,,wodę,,
1,2,wodę,,,,,,,,,
2,0,Maria,,,,,,,,,zjadła
2,1,zjadła,,,,,,,,,
2,2,zupę,,,,,,,,,
3,0,Nie,,,,negation,,,,,
3,1,ma,,,,,,,,,
3,2,kota,,,,,,,,,
4,0,Lubię,,,,,,,zapach,,
4,1,zapach,,smell,,,,,,,
4,2,kwiatów,,flowers,,,,,,,
4,3,na,,,,,,,,,
4,4,wiosnę,,,,,,,,,
5,0,Daję,,,,,,,,,
5,1,kotu,,,,,,,,,dać
5,2,mleko,,,,,,,,accusative,dać
6,0,Pomagam,,,,,,,,,
6,1,dziewczynie,,,,,,,,,
7,0,Widzę,,,,,,,,,
7,1,chłopca,,,,,,,,,widzieć
8,0,Mam,,,,,imperfective,,,,
8,1,komputer,,,,,,,,,
9,0,Jestem,,,,,,,,,
9,1,z,,,,,,,,,
9,2,kotem,,,,,,,,,
10,0,Idę,,,,,,,,,
10,1,na,,,,,,,,,
10,2,spacer,,,,,,,,,na
10,3,z,,,,,,,,,
10,4,Moniką,,,,,,,,,
11,0,Mówię,,,,,,,,,
11,1,o,,,,,,,,,
11,2,kocie,,,,,,,,,mówić
12,0,Dzieci,,,,,,,,,bawić
12,1,bawiły,,,,,,past,,,
12,2,się,,,,reflexive pronoun,,,,,
12,3,na,,,,,,,,,
12,4,podwórku,,,,,,,,,na
13,0,Kocie,,Cat's,,,,,,genitive,
14,0,Marku,,,,,,,,,
15,0,Nie,,,,negation,,,,,
15,1,mogę,,,,,,,znaleźć,,
15,2,znaleźć,,to find,,,perfective,infinitive,,,
15,3,mojego,,,adjective,,,,,genitive,znaleźć
15,4,telefonu,,,,,,,,,
16,0,Lubię,,,,,,,,,
16,1,kawę,,,,,,,,,lubić
16,2,z,,,,,,,,,
16,3,cukrem,,,,,,,,,
17,0,Rozmawiamy,,,,,,,,,
17,1,o,,,,,,,,,
17,2,książce,,,,,,,,,
18,0,Oddałam,,I returned,,,,,książkę,,
18,1,książkę,,book,,,,,,,
18,2,Piotrkowi,,,,,,,,,
19,0,Ona,,,,,,,,,
19,1,bierze,,,,,,,,,
19,2,kota,,,,,,,,,
19,3,na,,,,,,,,,
19,4,ręce,,,,,,,,,
20,0,W,,,,,,,,,
20,1,terenie,,,,,,,,,w
20,2,górzystym,,,,,,,,,w
20,3,dla,,,,,,,,,
20,4,zmniejszenia,,,,,,,,,dla
20,5,erozji,,,,,,,,,dla
20,6,długie,,,,,,,,,być
20,7,boki,,,,,,,,,być
20,8,pola,,,,,,,,,dla
20,9,powinny,,,,,,,,,
20,10,być,,,,,,,,,
20,11,wyznaczane,,,,,,,,,
20,12,wzdłuż,,,,,,,,,
20,13,warstwic,,,,,,,,,wzdłuż
20,14,prostopadle,,,,,,,,,
20,15,do,,,,,,,,,
20,16,spadku,,,,,,,,,do
20,17,terenu,,,,,,,,,do
