sentence_id,word_pos,original_value,root,original_value_translation,syntactic_category,other_syntactic_category,aspect,conjugation,object,declension_case,word_causing_declension,gender,number,subtype
1,0,Kot,,,,,,,,,,,,
1,1,pije,,,,,,,,,,,,
1,2,wodę,,,,,,,,,,,,
2,0,Maria,,,,,,,,,,,,
2,1,zjadła,,,,,,,,,,,,
2,2,zupę,,,,,,,,,,,,
3,0,Nie,,,adverb,,,,,,,,,
3,1,ma,ma,,,,,,,,,,,
3,2,kota,,,,,,,,genitive,,,,
4,0,Lubię,,,,,,,,,,,,
4,1,zapach,,,,,,,,,,,,
4,2,kwiatów,,,,,,,,,,,,
4,3,na,,,,,,,,,,,,
4,4,wiosnę,,,,,,,,,,,,
5,0,Daję,,,,,,,,,,,,
5,1,kotu,,the cat,,,,,,,,,,
5,2,mleko,,,,,,,,,,,,
6,0,Pomagam,,,,,,,,,,,,
6,1,dziewczynie,,,,,,,,,,,,
7,0,Widzę,,,,,,,,,,,,
7,1,chłopca,,,,,,,,,widzę,,,
8,0,Mam,,,,,,,,,,,,
8,1,komputer,,,,,,,,,,,,
9,0,Jestem,,,,,,,,,,,,
9,1,z,,,,,,,,,,,,
9,2,kotem,,,,,,,,,,,,
10,0,Idę,,,,,,,,,,,,
10,1,na,,,,,,,,,,,,
10,2,spacer,,,,,,,,,,,,
10,3,z,,,,,,,,,,,,
10,4,Moniką,,,,,,,,,,,,
11,0,Mówię,,,,,,,,,,,,
11,1,o,,,,,,,,,,,,
11,2,kocie,,,,,,,,,,,,
12,0,Dzieci,,,,,,,,,bawiły,,,
12,1,bawiły,,were playing,,,,,,,,,,
12,2,się,,,,,,,,,,,,
12,3,na,,,,,,,,,,,,
12,4,podwórku,,,,,,,,,,,,
13,0,Kocie,,,,,,,,,,,,
14,0,Marku,,,,,,,,,,,,
15,0,Nie,,,,,,,,,,,,
15,1,mogę,,,,,,,,,,,,
15,2,znaleźć,,,,,,,,,,,,
15,3,mojego,,,,,,,,,,,,
15,4,telefonu,,,,,,,,,,,,
16,0,Lubię,,,,,,,,,,,,
16,1,kawę,,,,,,,,,,,,
16,2,z,,,,,,,,,,,,
16,3,cukrem,,,,,,,,,,,,
17,0,Rozmawiamy,,,,,,,,,,,,
17,1,o,,,,,,,,,,,,
17,2,książce,,,,,,,,,,,,
18,0,Oddałam,,,,,,,,,,,,
18,1,książkę,,,,,,,,,,,,
18,2,Piotrkowi,,,,,,,,,,,,
19,0,Ona,,,,,,,,,,,,
19,1,bierze,,,,,,,,,,,,
19,2,kota,,,,,,,,,,,,
19,3,na,,,,,,,,,,,,
19,4,ręce,,,,,,,,,,,,
20,0,W,,,,,,,,,,,,
20,1,terenie,,,,,,,,,,,,
20,2,górzystym,,mountainous,,,,,,,,,,
20,3,dla,,,,,,,,,,,,
20,4,zmniejszenia,,,,,,,,,,,,
20,5,erozji,,,,,,,,,,,,
20,6,długie,,,,,,,,,,,,
20,7,boki,,,,,,,,,,,,
20,8,pola,,,,,,,,,,,,
20,9,powinny,,,,,,,,,,,,
20,10,być,,,,,,,,,,,,
20,11,wyznaczane,,,,,,,,,,,,
20,12,wzdłuż,,,,,,,,,,,,
20,13,warstwic,,,,,,,,,,,,
20,14,prostopadle,,,,,,,,,,,,
20,15,do,,,,,,,,,,,,
20,16,spadku,,,,,,,,,,,,
20,17,terenu,,,,,,,,,,,,
21,0,Na,,,,,,,,,,,,
21,1,placu,,,,,,,,,,,,
21,2,zabaw,,,,,,,,genitive,placu,,singular,
21,3,było,,,,,,,,,,,,
21,4,pięcioro,,,,,,,,,,,,
21,5,dzieci,,,,,,,,,,,,
21,6,z,,,,,,,,,,,,
21,7,których,,,,,,,,,,,,
21,8,pięcioro,,,,,,,,,których,,,
21,9,bawiło,,,,,,,,,,,,
21,10,się,,,,,,,,,,,,
21,11,dwiema,,,,,,,,,,,,
21,12,piłkami,,,,,,,,,,,,
