dimension,precision,recall,f1,support
root,0.9891304347826086,0.9891304347826086,0.9891304347826086,92.0
original_value_translation,0.9619565217391305,0.967391304347826,0.9637681159420289,92.0
syntactic_category,0.9945652173913043,0.9891304347826086,0.989855072463768,92.0
aspect,1.0,1.0,1.0,92.0
conjugation,1.0,1.0,1.0,92.0
object,1.0,1.0,1.0,92.0
declension_case,0.9822134387351779,0.9782608695652174,0.9787492123503465,92.0
word_causing_declension,0.9891304347826086,0.9565217391304348,0.9704666118785792,92.0
other_syntactic_category,0.9892512077294687,0.9891304347826086,0.987349202493725,92.0
gender,1.0,1.0,1.0,92.0
number,0.9894323671497584,0.9891304347826086,0.9888872879219047,92.0
subtype,1.0,1.0,1.0,92.0
